Transaction_ID,Transaction_Date,Customer_ID,Product_Name,Quantity,Price,Payment_Method,Transaction_Status,Error_Missing_Transaction_ID,Error_Invalid_Transaction_ID,Error_Duplicate_Transaction_ID,Error_Missing_Customer_ID,Error_Invalid_Customer_ID,Error_Missing_Date,Error_Invalid_Date,Error_Missing_Product,Error_Invalid_Product,Error_Missing_Quantity,Error_Invalid_Quantity,Error_Missing_Price,Error_Invalid_Price_Format,Error_Invalid_Price_Value,Error_Missing_Payment_Method,Error_Nonstandard_Payment,Error_Missing_Status,Error_Nonstandard_Status,Error_Count,Error_Type,Is_Anomaly
T0001,2024-08-02,C2205,Headphones,-5.0,$420.21,pay pal,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,3,Invalid Quantity | Nonstandard Payment Method | Missing Status,1
T0002,2020-02-10,C3156,Coffee ,469.0,-445.34202525395585,creditcard,Pending,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,3,Invalid Product | Invalid Price Value | Nonstandard Payment Method,1
T0003,2025-02-30,C2919,Tablet,-4.0,810.9930123946459,credit card,completed,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,4,Invalid Date | Invalid Quantity | Nonstandard Payment Method | Nonstandard Status,1
T0004,2020-08-17,C3009,Tab,-7.0,868.6083413217348,PayPal,Pending,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,Invalid Product | Invalid Quantity,1
T0005,2025-02-30,C3488,Coffee Machine,-10.0,-763.1224490039416,PayPal,completed,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,4,Invalid Date | Invalid Quantity | Invalid Price Value | Nonstandard Status,1
T0006,2021-10-26,C4241,Smartphone,598.0,,PayPal,Completed,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Missing Price,1
,2025-02-30,C1313,Laptop,10.0,,credit card,Completed,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,5,Missing Transaction ID | Invalid Transaction ID | Invalid Date | Missing Price | Nonstandard Payment Method,1
T0008,2023-13-01,C4736,Headphones,669.0,-86.92126929493884,Cash,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,3,Invalid Date | Invalid Price Value | Missing Status,1
T0009,,C3387,Tablet,10.0,461.70198437439694,PayPal,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,Missing Date | Missing Status,1
T0010,2025-02-30,C2846,Laptop,-1.0,404.8907066405689,creditcard,Pending,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,3,Invalid Date | Invalid Quantity | Nonstandard Payment Method,1
