Feature,PSO_Selected
transaction_id_missing,0
transaction_id_length,0
transaction_id_valid,0
transaction_id_duplicate,0
customer_missing,0
customer_id_length,0
date_missing,0
date_valid,1
year,0
month,0
day,0
product_missing,0
product_length,1
product_valid,1
quantity_missing,1
quantity_value,0
quantity_positive,0
quantity_negative,1
price_missing,0
price_value,0
price_positive,1
price_negative,0
price_has_dollar,0
price_length,1
payment_missing,0
payment_valid,1
payment_length,1
status_missing,0
status_valid,1
status_length,1
