Iteration,Global_Best_Fitness,Mean_Personal_Best_Fitness,Selected_Features
1,0.9765379926858999,0.9676712362948845,14
2,0.9778828218503715,0.9705469575928095,13
3,0.9778828218503715,0.9719981204827095,13
4,0.9778828218503715,0.972650753953604,13
5,0.9778828218503715,0.9736495083870136,13
6,0.9778828218503715,0.9749131418493932,13
7,0.9778828218503715,0.9749850997988488,13
8,0.9778828218503715,0.9752206915190609,13
9,0.9778828218503715,0.9754933875403768,13
10,0.9804428548828169,0.9759527344141713,11
11,0.9804428548828169,0.9763918236102246,11
12,0.9804428548828169,0.9767217120777449,11
13,0.9804428548828169,0.9768690383754833,11
14,0.9808296622613802,0.9770550454110782,11
15,0.9808296622613802,0.9772092934669783,11
